state,county,county_FIPS,year,opioid_claim_count,opioid_day_supply,opioid_prescriber_rate,la_opioid_claim_count,la_opioid_day_supply,la_opioid_prescriber_rate
AK,Southeast Fairbanks Census Area,2240,2013,739.0,15523.0,12.645,84.0,2119.0,8.557500000000001
AK,Southeast Fairbanks Census Area,2240,2014,1276.0,29415.0,13.033,190.0,4537.0,10.311
AK,Southeast Fairbanks Census Area,2240,2015,489.0,12260.0,5.767,99.0,2635.0,7.3805000000000005
AK,Southeast Fairbanks Census Area,2240,2016,549.0,14298.0,5.7013333333333325,136.0,3454.0,7.266333333333334
AK,Southeast Fairbanks Census Area,2240,2017,379.0,12138.0,4.700833333333333,54.0,1806.0,1.6366666666666667
AK,Valdez-Cordova Census Area,2261,2013,733.0,17405.0,4.125166666666667,194.0,5513.0,4.231249999999999
AK,Valdez-Cordova Census Area,2261,2014,709.0,17662.0,6.3451249999999995,142.0,4116.0,1.6510000000000002
AK,Valdez-Cordova Census Area,2261,2015,714.0,16089.0,4.571833333333333,137.0,4016.0,1.1276666666666666
AK,Valdez-Cordova Census Area,2261,2016,859.0,20901.0,3.0770857142857144,175.0,5068.0,2.3915428571428574
AK,Valdez-Cordova Census Area,2261,2017,934.0,24078.0,5.677714285714285,188.0,5562.0,2.151619047619047
AK,Wrangell City and Borough,2275,2013,436.0,11674.0,4.932857142857143,86.0,2559.0,9.598571428571429
AK,Wrangell City and Borough,2275,2014,427.0,10873.0,5.145,71.0,2087.0,7.888750000000001
AK,Wrangell City and Borough,2275,2015,426.0,11692.0,10.98625,77.0,2622.0,6.65125
AK,Wrangell City and Borough,2275,2016,442.0,12658.0,13.249999999999998,79.0,3087.0,10.938571428571427
AK,Wrangell City and Borough,2275,2017,316.0,9873.0,5.207142857142857,50.0,2169.0,10.860000000000001
AK,Yakutat City and Borough,2282,2013,0.0,0.0,0.0,0.0,0.0,0.0
AK,Yukon-Koyukuk Census Area,2290,2013,16.0,347.0,0.5016666666666666,0.0,0.0,0.0
AK,Yukon-Koyukuk Census Area,2290,2014,51.0,397.0,4.024166666666667,0.0,0.0,0.0
AK,Yukon-Koyukuk Census Area,2290,2015,47.0,400.0,3.24375,0.0,0.0,0.0
AK,Yukon-Koyukuk Census Area,2290,2016,0.0,0.0,0.0,0.0,0.0,0.0
AK,Yukon-Koyukuk Census Area,2290,2017,0.0,0.0,0.0,0.0,0.0,0.0
AL,Autauga County,1001,2013,102247.0,2389540.0,10.02876610936956,12510.0,354781.0,2.677587077673285
AL,Autauga County,1001,2014,100022.0,2379535.0,9.604152961980546,13105.0,376060.0,3.0169398762157376
AL,Autauga County,1001,2015,82480.0,1950931.0,9.779026555881392,12280.0,350713.0,2.6896757901596615
AL,Autauga County,1001,2016,103872.0,2606539.0,8.978937275985663,17548.0,514614.0,2.395407962109575
AL,Autauga County,1001,2017,101264.0,2584316.0,6.582216624034312,16273.0,480013.0,1.6365731984600678
AL,Baldwin County,1003,2013,160797.0,3657230.0,11.872422793386852,19704.0,574028.0,2.544325054931936
AL,Baldwin County,1003,2014,156034.0,3635961.0,11.863283951661508,18773.0,547333.0,2.7621691358028073
AL,Baldwin County,1003,2015,156884.0,3766679.0,10.295432594562108,19341.0,566348.0,1.7523136206899443
AL,Baldwin County,1003,2016,156515.0,3785238.0,10.872475881092242,19421.0,568664.0,1.7050628184928758
AL,Baldwin County,1003,2017,141437.0,3360305.0,8.80529677916016,14290.0,420383.0,1.261563460624584
AL,Barbour County,1005,2013,17400.0,407601.0,10.623462962962964,1072.0,30268.0,1.147962962962963
AL,Barbour County,1005,2014,15132.0,358549.0,7.775732758620691,876.0,24370.0,0.8667241379310344
AL,Barbour County,1005,2015,11595.0,271194.0,9.30183908045977,772.0,21886.0,0.6755172413793104
AL,Barbour County,1005,2016,8724.0,197220.0,7.24425925925926,564.0,15424.0,0.665
AL,Barbour County,1005,2017,6816.0,152796.0,5.874444444444445,420.0,11624.0,0.7516666666666667
AL,Bibb County,1007,2013,12487.0,307568.0,12.575304290947148,1284.0,36057.0,2.2550387231815803
AL,Bibb County,1007,2014,12584.0,317497.0,10.27015873015873,1238.0,35681.0,2.3425680272108846
AL,Bibb County,1007,2015,6489.0,153442.0,11.947620268620268,754.0,21604.0,1.2834367114367116
AL,Bibb County,1007,2016,6769.0,154770.0,9.259578511691414,840.0,23023.0,2.651032684758491
AL,Bibb County,1007,2017,6964.0,158065.0,8.480748995770734,991.0,28096.0,2.4040100865318252
AL,Blount County,1009,2013,45436.0,1033329.0,12.765277868133927,2422.0,65699.0,1.18500686023624
AL,Blount County,1009,2014,44340.0,1033508.0,10.755912168886988,2461.0,66537.0,1.1154179832548172
AL,Blount County,1009,2015,40394.0,967603.0,9.614835984064245,2414.0,65521.0,1.0966010257858085
AL,Blount County,1009,2016,39982.0,955177.0,8.555102906258131,2289.0,60655.0,1.0027109865804245
AL,Blount County,1009,2017,38387.0,926558.0,6.930311985224274,2253.0,58984.0,0.9771272976065376
AL,Bullock County,1011,2013,22518.0,519035.0,8.362187659729829,2102.0,62338.0,1.7274762687112082
AL,Bullock County,1011,2014,20220.0,462791.0,8.128113019453702,1990.0,58647.0,1.3865257721192095
AL,Bullock County,1011,2015,18473.0,436530.0,8.001046307884856,1975.0,58793.0,1.5852503128911135
AL,Bullock County,1011,2016,16914.0,393318.0,11.68233620398514,1957.0,58497.0,1.765288753799392
AL,Bullock County,1011,2017,16848.0,393975.0,9.893397405473817,2192.0,64746.0,1.8376775826609715
AL,Butler County,1013,2013,10062.0,246385.0,10.725555555555554,422.0,12698.0,4.406777777777778
AL,Butler County,1013,2014,10371.0,266205.0,13.193444444444443,532.0,16258.0,4.416444444444444
AL,Butler County,1013,2015,8714.0,225024.0,19.89774193548387,442.0,13565.0,2.874709677419355
AL,Butler County,1013,2016,5879.0,143517.0,19.89763440860215,264.0,7656.0,2.6607956989247312
AL,Butler County,1013,2017,5185.0,127563.0,19.48857142857143,232.0,6820.0,2.7565714285714287
AL,Calhoun County,1015,2013,330470.0,8005691.0,9.993876717871691,42452.0,1234132.0,2.2462492946328045
AL,Calhoun County,1015,2014,322681.0,7785722.0,11.517490175623717,41768.0,1211496.0,2.2651374325102664
AL,Calhoun County,1015,2015,294333.0,7075923.0,10.392797917496924,34785.0,1010858.0,2.1450783522410264
AL,Calhoun County,1015,2016,267318.0,6282074.0,9.548356305830552,24529.0,710785.0,1.8055665258031215
AL,Calhoun County,1015,2017,243225.0,5613029.0,8.040831337022517,19254.0,554731.0,1.4379831162024557
AL,Chambers County,1017,2013,42521.0,854786.0,13.20547389558233,3125.0,92456.0,1.0236091030789825
AL,Chambers County,1017,2014,40731.0,826171.0,12.045974421635712,2974.0,87479.0,1.0889550342130987
AL,Chambers County,1017,2015,36082.0,743867.0,9.293324223833427,2736.0,79639.0,1.5458380120220612
AL,Chambers County,1017,2016,35580.0,740297.0,9.078335366184204,2559.0,74983.0,1.0350098932075675
AL,Chambers County,1017,2017,33047.0,710792.0,10.461252936605879,2537.0,74141.0,1.050319210201563
AL,Cherokee County,1019,2013,174739.0,4150455.0,11.70931863853811,31640.0,906229.0,2.023696578588431
AL,Cherokee County,1019,2014,185024.0,4518210.0,11.473052260462273,32663.0,944666.0,1.7276226114109223
AL,Cherokee County,1019,2015,177002.0,4393084.0,8.257777056718313,28652.0,832086.0,1.4542752955966294
AL,Cherokee County,1019,2016,155370.0,3824473.0,7.861829587984482,21843.0,636154.0,1.7394966084639996
AL,Cherokee County,1019,2017,100639.0,2309539.0,5.973102444376874,8523.0,246283.0,0.9890917781586319
AL,Chilton County,1021,2013,33362.0,784674.0,16.862508403361343,1541.0,46252.0,1.9714159663865547
AL,Chilton County,1021,2014,32585.0,792818.0,17.46419642857143,1215.0,37145.0,1.5230721966205838
AL,Chilton County,1021,2015,33596.0,821950.0,16.58231277056277,1425.0,42145.0,1.0679204545454544
AL,Chilton County,1021,2016,32436.0,794264.0,13.019494047619048,1108.0,32806.0,2.9425119047619046
AL,Chilton County,1021,2017,30664.0,751040.0,16.622558897243106,853.0,24552.0,2.519353383458647
AL,Choctaw County,1023,2013,7822.0,155588.0,9.361666666666668,562.0,16374.0,2.1105555555555555
AL,Choctaw County,1023,2014,8233.0,178736.0,8.48,688.0,20477.0,3.3505555555555553
AL,Choctaw County,1023,2015,6531.0,154404.0,7.7961616161616165,631.0,18774.0,2.7468181818181825
AL,Choctaw County,1023,2016,6513.0,158009.0,9.339583333333332,588.0,17036.0,1.9470833333333335
AL,Choctaw County,1023,2017,5691.0,139491.0,8.459259259259259,545.0,15415.0,1.6681481481481484
AL,Clarke County,1025,2013,10794.0,225901.0,6.730555555555556,401.0,11532.0,1.8761111111111108
AL,Clarke County,1025,2014,10028.0,218431.0,6.085216806220096,403.0,11410.0,1.6435586124401915
AL,Clarke County,1025,2015,8858.0,209403.0,5.052041666666668,463.0,13202.0,1.93175
AL,Clarke County,1025,2016,9109.0,223068.0,4.867298145933014,435.0,12128.0,1.9798908492822966
AL,Clarke County,1025,2017,9757.0,243330.0,4.718651960784314,458.0,12405.0,1.7995343137254902
AL,Clay County,1027,2013,19117.0,427725.0,8.84982222222222,1874.0,55089.0,2.2411944444444445
AL,Clay County,1027,2014,21535.0,540475.0,10.266049999999998,1962.0,57209.0,2.1487
AL,Clay County,1027,2015,22466.0,581871.0,9.255668439716313,2259.0,67312.0,2.3697216312056737
AL,Clay County,1027,2016,22300.0,586291.0,10.986847545219637,2097.0,61452.0,2.4395219638242893
AL,Clay County,1027,2017,18484.0,482203.0,8.761560723514211,1475.0,42421.0,2.416558139534884
AL,Cleburne County,1029,2013,46514.0,1136903.0,6.771727335164837,4684.0,137286.0,1.4703883928571428
AL,Cleburne County,1029,2014,45574.0,1100224.0,7.6354,4630.0,134079.0,1.1623238095238093
AL,Cleburne County,1029,2015,40829.0,977837.0,7.77258,3774.0,109837.0,1.14732
AL,Cleburne County,1029,2016,37941.0,890951.0,9.526779674796748,2684.0,77239.0,1.049557723577236
AL,Cleburne County,1029,2017,37981.0,892441.0,7.392922843665769,2941.0,84735.0,1.9669227313566935
AL,Coffee County,1031,2013,49147.0,1099142.0,7.296473484848484,3369.0,96986.0,2.254064393939394
AL,Coffee County,1031,2014,46205.0,1048930.0,7.011212736843331,3206.0,91251.0,1.305270334268867
AL,Coffee County,1031,2015,42021.0,983049.0,9.482435587930453,2932.0,85576.0,1.166824639858389
AL,Coffee County,1031,2016,40073.0,939803.0,16.96302683680112,2992.0,87206.0,3.8985804020482155
AL,Coffee County,1031,2017,37659.0,878603.0,12.56154530586181,2781.0,81231.0,1.013328055360075
AL,Colbert County,1033,2013,66839.0,1668462.0,7.221505083514888,3216.0,90989.0,0.9190435844112314
AL,Colbert County,1033,2014,66102.0,1674721.0,9.307888355342138,2808.0,79577.0,1.1033957890848647
AL,Colbert County,1033,2015,67223.0,1723211.0,7.021589330334832,2809.0,81949.0,0.9386895614692654
AL,Colbert County,1033,2016,65339.0,1675456.0,7.03234941428525,2745.0,79180.0,1.169756460776594
AL,Colbert County,1033,2017,64296.0,1639738.0,6.291937539086929,2302.0,65662.0,0.9559153600464576
AL,Conecuh County,1035,2013,70303.0,1649986.0,8.944741572327043,3791.0,109777.0,2.1776850986770766
AL,Conecuh County,1035,2014,66922.0,1618657.0,9.004288035714286,3810.0,111206.0,2.089671480331263
AL,Conecuh County,1035,2015,62844.0,1541301.0,10.306954044055685,3586.0,105148.0,1.7272828630537056
AL,Conecuh County,1035,2016,60570.0,1498817.0,10.08780728953705,3352.0,98735.0,1.5046965358229976
AL,Conecuh County,1035,2017,58564.0,1440998.0,10.96141203703704,3095.0,90965.0,1.6959138888888892
AL,Coosa County,1037,2013,68076.0,1576491.0,11.591753544494718,2538.0,73713.0,0.7645161387631976
